,accuracy,ECE
0,0.0,0.021365998924535917
1,0.0,0.021365998924535917
2,0.0,0.021365998924535917
3,0.0,0.021365998924535917
4,0.0,0.021365998924535917
5,0.49999875000312505,0.021365998924535917
6,0.3749997656251465,0.021365998924535917
7,0.3589742669296751,0.021365998924535917
8,0.42168669618232574,0.021365998924535917
9,0.5123456473860711,0.021365998924535917
10,0.5056603582769676,0.021365998924535917
11,0.5399999820000007,0.021365998924535917
12,0.6254295317721811,0.021365998924535917
13,0.7022471712851919,0.021365998924535917
14,0.7412935138981713,0.021365998924535917
15,0.7836134289156843,0.021365998924535917
16,0.850393687395375,0.021365998924535917
17,0.9015543948025452,0.021365998924535917
18,0.9402828656873606,0.021365998924535917
19,0.996598330688362,0.021365998924535917
